country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","24-03-2026 13:00:00",16.486692,80.699436,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","24-03-2026 13:00:00",16.486692,80.699436,CO,39,62,49
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-03-2026 13:00:00",16.509717,80.612222,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-03-2026 13:00:00",16.509717,80.612222,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-03-2026 13:00:00",16.509717,80.612222,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-03-2026 13:00:00",16.509717,80.612222,OZONE,44,57,50
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-03-2026 13:00:00",16.554731,80.649110,NO2,19,24,22
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-03-2026 13:00:00",16.554731,80.649110,NH3,3,5,5
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-03-2026 13:00:00",16.554731,80.649110,SO2,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2026 13:00:00",17.72,83.3,PM2.5,17,88,36
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2026 13:00:00",17.72,83.3,PM10,37,121,73
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2026 13:00:00",17.72,83.3,NH3,2,16,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-03-2026 13:00:00",17.72,83.3,SO2,1,37,11
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","24-03-2026 13:00:00",27.103358,93.679645,OZONE,5,6,5
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","24-03-2026 13:00:00",24.7955,84.9994,NO2,9,9,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","24-03-2026 13:00:00",24.792403,84.992416,PM10,73,346,161
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","24-03-2026 13:00:00",24.762518,84.982348,PM10,19,95,50
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","24-03-2026 13:00:00",24.762518,84.982348,SO2,6,7,7
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","24-03-2026 13:00:00",25.697189,85.245900,OZONE,13,110,41
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","24-03-2026 13:00:00",25.560083,87.553265,NO2,8,11,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","24-03-2026 13:00:00",25.560083,87.553265,CO,54,86,69
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","24-03-2026 13:00:00",25.560083,87.553265,OZONE,5,37,12
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","24-03-2026 13:00:00",26.071318,91.87488,PM10,71,196,117
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","24-03-2026 13:00:00",26.10887,91.589544,PM10,44,87,65
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","24-03-2026 13:00:00",26.181742,91.78063,PM2.5,31,113,62
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","24-03-2026 13:00:00",26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","24-03-2026 13:00:00",26.181742,91.78063,SO2,1,4,2
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-03-2026 13:00:00",26.349082,92.68449,NO2,6,13,8
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-03-2026 13:00:00",26.349082,92.68449,SO2,9,13,12
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-03-2026 13:00:00",26.349082,92.68449,CO,9,23,20
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","24-03-2026 13:00:00",13.67,79.35,PM2.5,21,59,35
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","24-03-2026 13:00:00",13.67,79.35,NO2,35,85,54
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","24-03-2026 13:00:00",13.67,79.35,NH3,2,3,2
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","24-03-2026 13:00:00",13.615387,79.409230,PM2.5,46,60,51
